Published date,tweet
2021-06-30 10:45:07,"Chow Po Chung, a prominent philosopher in Hong Kong, influenced many young pro-democracy activists, encouraging his… https://t.co/BK0IjxtNMd"
2021-06-30 10:35:06,"Facing rigid gender norms, female athletes in Japan often have to go to great lengths to pursue their sporting drea… https://t.co/eLIyrCUNqx"
2021-06-30 10:35:00,"What's next for Britney Spears? Join @LizDDay, @starksamantha, @joecoscarelli and 
@stavernise for a chat about the… https://t.co/7GQDPIOFuZ"
2021-06-30 10:30:04,RT @jeligon: Insurgent forces in Ethiopia’s Tigray region have remarkably taken over their regional capital after months of civil war &amp; atr…
2021-06-30 10:15:04,"Kim Jong-un, North Korea's leader, said that lapses in his country’s anti-pandemic campaign have caused a “great cr… https://t.co/iIRMIm8WCk"
2021-06-30 10:03:05,Hong Kong’s freedoms were curtailed with breathtaking speed when the national security law was imposed in 2020. But… https://t.co/vOUNE39KnP
2021-06-30 10:03:04,"“Fear — it can make you stronger, because you don’t want to live under fear,” said a business owner who put protest… https://t.co/Ey4zu3y7UE"
2021-06-30 10:03:03,"When Beijing purged political candidates it deemed disloyal, it called it “perfecting Hong Kong’s electoral system.… https://t.co/0OP1xx4FcT"
2021-06-30 10:03:01,"Lo Kit Ling, who teaches a high school civics class, is now careful to say only positive things about China. She ha… https://t.co/0NRUKOLjrJ"
2021-06-30 10:03:00,Teachers are told to imbue children with patriotism through 48-volume books called “My Home Is in China.” Libraries… https://t.co/7Va92y3dLw
2021-06-30 10:02:59,"Armed with the sweeping national security law it imposed one year ago, Beijing has pushed to turn Hong Kong into an… https://t.co/V9ZpdsXUmh"
2021-06-30 10:00:06,Children are taught to identify traitors. Neighbors are urged to report one another. Officials are pressed to pledg… https://t.co/LwlbISg0pd
2021-06-30 09:55:07,"RT @LiYuan6: For two decades, Hong Kong philosopher @pochungchow taught his students to be active participants in public affairs. Now he's…"
2021-06-30 09:45:07,"The number of children under 13 in the U.S. who need urgent mental health care is on the rise, and has been for yea… https://t.co/q2c3279hbw"
2021-06-30 09:30:09,"Tokyo’s Olympic organizers, already contending with Covid-19, are making elaborate plans for another potential disa… https://t.co/zOPm6utlE8"
2021-06-30 09:20:07,"RT @MarkLandler: From goose-stepping police to tattling neighbors, China is twisting Hong Kong into just another city in the surveillance s…"
2021-06-30 09:15:03,"RT @RorySmith: Now, at last, maybe the history doesn’t matter. England beat Germany in a knockout game, and all of the things that have alw…"
2021-06-30 09:00:17,"In Opinion

“The writing is on the wall,” writes Susan McKay, an Irish journalist, in a guest essay. “There isn’t g… https://t.co/L4ZcfRtNrs"
2021-06-30 08:20:05,"Known for their frat-like parties, elaborate pranks and crude humor, the Nelk Boys are used to getting in trouble.… https://t.co/4DiIExaJRC"
2021-06-30 08:00:07,"A cascading series of failures in India, from the central government on down, left hospitals across the country wit… https://t.co/XG5Zd5JOZE"
2021-06-30 07:00:06,The British government has introduced a new exemption to its quarantine rules for business travelers “bringing sign… https://t.co/9JHVHpxRHb
2021-06-30 06:00:16,The House voted to remove statues of Confederate and other white supremacist leaders from public display at the U.S… https://t.co/s42HfniLVh
2021-06-30 05:30:02,"In Opinion 

""I don’t want to see yet another 'inner city' success story emerge from my community,"" writes Samuel G… https://t.co/kwOADU7cdb"
2021-06-30 05:20:05,If the U.S. and its allies can strike a deal for Turkey to keep forces in place to secure the civilian airport know… https://t.co/bXSggbKo7Q
2021-06-30 05:00:08,"“I fought for our space and our rights alongside so many others, and in the end, none of that kept my marriage toge… https://t.co/KvxGl23MWG"
2021-06-30 04:40:05,"Loose Earl Grey tea stirred into buttery batter adds a sweet, floral essence that’s subtle but lovely. A little dar… https://t.co/EEvTNDVoqF"
2021-06-30 04:18:50,A grand jury has declined to indict a former Georgia state trooper who shot and killed a Black man last year during… https://t.co/3GPG2sgUtN
2021-06-30 04:00:09,"Kim Jong-un, North Korea's leader, said that lapses in his country’s anti-pandemic campaign have caused a “great cr… https://t.co/i4G1IMF69c"
2021-06-30 03:40:07,"New York City's Board of Elections mistakenly counted 135,000 test ballots in Tuesday’s ranked-choice tally, creati… https://t.co/l8Fw29n84x"
2021-06-30 03:20:06,"RT @vwang3: THREAD: After one year under the national security law, Hong Kong is a city transformed.

Schoolchildren memorize national secu…"
2021-06-30 03:00:08,"The play between salty, hot cheese and sweet, juicy tomatoes is what makes this dish sizzle. https://t.co/5l3XSQD2wZ"
2021-06-30 02:40:10,"The New York City mayoral race plunged into chaos after the Board of Elections, citing a “discrepancy,” removed its… https://t.co/ZEoqlk8898"
2021-06-30 02:20:04,RT @jimtankersley: Biden kicks off his “This deal is awesome / I love it / you too should love it/ I definitely did not mean to threaten to…
2021-06-30 02:00:13,How many words can you make with 7 letters? Try today’s Spelling Bee. https://t.co/irnixdwUNI https://t.co/BLgsju25oD
2021-06-30 01:40:03,"The number of children under 13 in the U.S. who need urgent mental health care is on the rise, and has been for yea… https://t.co/8Z1Z4xWlvK"
2021-06-30 01:30:05,Four people were arrested on Tuesday in connection with a fast-moving fire that destroyed an assisted living home i… https://t.co/4BUPC3wDfb
2021-06-30 01:20:07,"RT @apoorva_nyc: NEW: With the Delta variant rapidly spreading across the globe, masks are again the focus of conflicting views, and fears,…"
2021-06-30 01:10:02,The painful procedures. The loss of control over your own body. The never-ending blood tests. For women who have en… https://t.co/m7YT27EXLx
2021-06-30 01:00:07,"Without the news families in Surfside, Florida, are most desperate to hear, they have been left no choice but to na… https://t.co/PbcddvYTPJ"
2021-06-30 00:40:06,"“Zola” brings a notorious Twitter thread from 2015 onscreen. Yes, the hair-raising tale about a Florida trip involv… https://t.co/1PAKw0Ux7d"
2021-06-30 00:20:02,"Meet the U.S. women's gymnastics team heading to Tokyo, including Simone Biles — no introduction needed — and Sunis… https://t.co/pi2Y6KRsjw"
2021-06-30 00:10:02,"RT @ByJamesWagner: “Some dreams take longer than they should to be realized, but a goal attained should not dim with the passage of time.”…"
2021-06-30 00:00:07,"Six days after the disastrous collapse of a condo building near Miami, hundreds of rescuers are still digging throu… https://t.co/WwlnDg2TUx"
2021-06-29 23:45:06,"People poured into the streets of Mekelle, Ethiopia just after dawn on Tuesday, cheering and weeping with relief af… https://t.co/FQ19DrKqLk"
2021-06-29 23:35:06,The Supreme Court on Tuesday refused to lift a moratorium on evictions that had been imposed by the CDC in response… https://t.co/WLo9lwwxKl
2021-06-29 23:25:02,"RT @reidepstein: The Wisconsin Senate president, shocked that Trump attacked him, wrote: ""The power of your pen to mine is like Thor’s hamm…"
2021-06-29 23:15:03,Marc Jacobs returned to Fifth Avenue with New York City’s first full-fledged fashion show since the pandemic began.… https://t.co/n8teyNGoMo
